id_sppg,nama,prov,kab,kec,desa,alamat,lat,lon,presisi,kode_kab_bps,kode_kec_bps
S18048,SPPG Kota Tasikmalaya Mangkubumi Cigantang,JAWA BARAT,KOTA TASIKMALAYA,MANGKUBUMI,CIGANTANG,"Jl. Nanggela Kampung Gunung Siman Rt/03 Rw/06 Kel. Cigantang Kec. Mangkubumi Kota Tasikmalaya, Jawa Barat",-7.34387,108.18438,kecamatan,3278,3278060
S18049,SPPG Tangerang Mauk Sasak 1,BANTEN,TANGERANG,MAUK,SASAK,"Jl. Raden Machmud Rt 018/ Rw. 004, Desa Saak, Kecamatan Mauk, Kabupaten Tangerang , Sasak, Mauk, Kab. Tangerang, Banten",-6.0533,106.52305,kecamatan,3603,3603160
S18050,SPPG Kota Depok Sukmajaya Baktijaya 2,JAWA BARAT,KOTA DEPOK,SUKMAJAYA,BAKTIJAYA,"Jl. Keadilan ujung No. 88 Kel. Baktijaya, Kec. Sukmajaya Depok Timur",-6.40986,106.84803,kecamatan,3276,3276030
S18051,SPPG Penajam Paser Utara Penajam Penajam,KALIMANTAN TIMUR,PENAJAM PASER UTARA,PENAJAM,PENAJAM,"Jl. Propinsi Km. 03 (Depan Sman 001 Penajam), Penajam Kab. Penajam Paser Utara, Kalimantan Timur",-1.18756,116.56099,kecamatan,6409,6409030
S18052,SPPG Tegal Dukuhturi Sidakaton,JAWA TENGAH,TEGAL,DUKUHTURI,SIDAKATON,"Jl. Sidapurna Utara, Kampoeng Cafe And Resto Kelurahan Sidakaton, Kecamatan Dukuhturi, Kabupaten Tegal Jawa Tengah",-6.90457,109.11071,kecamatan,3328,3328130
S18053,SPPG Kota Tangsel Pondok Aren Pondok Kacang Timur 2,BANTEN,KOTA TANGERANG SELATAN,PONDOK AREN,PONDOK KACANG TIMUR,"Jl. Masjid Nurul Ikhwan No 13. Pondok Kacang Timur, Kec. Pondok Aren, Kota Tangerang Selatan, Banten",-6.28457,106.69749,kecamatan,3674,3674060
S18054,SPPG Muaro Jambi Sungai Gelam Sungai Gelam,JAMBI,MUARO JAMBI,SUNGAI GELAM,SUNGAI GELAM,"Jl. Jambi, Desa Sungai Gelam, Kecamatan Sungai Gelam, Kabupaten Muaro Jambi, Provinsi Jambi",-1.74131,103.77526,kecamatan,1505,1505021
S18055,SPPG Bekasi Cikarang Selatan Pasirsari,JAWA BARAT,BEKASI,CIKARANG SELATAN,PASIRSARI,"Pasirsari, Cikarang Selatan, Kabupaten Bekasi, Jawa Barat 17530",-6.31934,107.13664,kecamatan,3216,3216023
S18056,SPPG Klaten Gantiwarno Mutihan,JAWA TENGAH,KLATEN,GANTIWARNO,MUTIHAN,"Jetak Rt 07 Rw 03, Mutihan, Kecamatan Gantiwarno, Kabupaten Klaten, Jawa Tengah",-7.77074,110.56326,kecamatan,3310,3310020
S18057,SPPG Pamekasan Tlanakan Ambat,JAWA TIMUR,PAMEKASAN,TLANAKAN,AMBAT,"Jl. Raya Ambat, Atoran, Ambat, Kecamatan Tlanakan, Kabupaten Pamekasan, Jawa Timur 69371, Ambat, Tlanakan, Kabupaten Pamekasan, Jawa Timur",-7.19956,113.44189,kecamatan,3528,3528010
